country,pfizer,ptitle,astrazeneca,atitle,sputnik,rtitle,sinovac,ctitle,company
Somaliland,45.58461957,US court clears way for torture lawsuit against alleged Somali war criminal,50.0068866,UNICEF condemns terrorist suicide attack in Cameroon,49.682978,UNICEF condemns terrorist suicide attack in Cameroon,49.2576738,,Sinovac
Western Sahara,53.58423077,Military Tensions Rise in Morocco-Polisario Western Sahara Conflict,51.906875,A Stalled Conflict in Sahara Risks Reigniting as Trade Blocked,47.63865854,Polisario Leader Continues to Threaten War with Morocco,54.0596721,Hidden immune weakness found in 14% of gravely ill COVID-19 patients,AstraZeneca
Algeria,55.22028302,Algeria trial over French mountaineer's murder postponed,53.6904167,Several killed in road accident in Algeria,55.15608696,,49.0005357,Piecemeal data releases threaten to undermine Sinovac's COVID-19 vaccine,Pfizer
Angola,48.40758065,Angola: Teen killed by soldier during coronavirus mask operation,55.4537143,"AstraZeneca, UNICEF enlist youth leaders to fight noncommunicable diseases",50.98901786,Angola: Investigate Past Rights Abuses,45.5952083,"Angola: Country reports 247 new coronavirus cases, one more death",Sputnik
Benin,50.4606,Covid-19: The pandemic heightens food insecurity in Benin,48.7634091,Search For Missing Person In Stockton Waterway,47.91837838,The Unknown Surrounding Case Of Missing Thomas Hughes Terrifies His Family,47.6675,,Sputnik
Botswana,47.86814286,South Africa forced to overhaul vaccine plan over variant fears,49.3357143,Merck and AstraZeneca's Cancer Drug Wins 3 New Approvals in Japan,42.57325,Canada allots USD 1.1 million to fight COVID-19 misinformation,46.4023333,Drug shown to reduce risk of death for hospitalized Covid-19 patients,Pfizer
Burkina Faso,52.09052083,EU regulator: Hackers 'manipulated' stolen vaccine documents,41.8987179,Burkina Faso army kills 13 terrorists,44.48,"Terrorists kill 39 in Burkina Faso, NRC warns of looming displacement crisis",34.9926923,Turkey condemns Burkina Faso terror attack,Pfizer
Burundi,46.2675,DR Congo army says Burundi rebels forced from strongholds,47.3162222,Burundi rebel group claims attacks in new offensive,50.14894737,A jobless world and China's rule of fear,45.4525,Burundi Walks Tightrope Between Virus and Violence With Vote,AstraZeneca
Cameroon,42.375,UNICEF condemns terrorist suicide attack in Cameroon,40.0877778,Cameroon: 4 civilians dead in Boko Haram attacks,43.43383333,Bus crash in western Cameroon leaves 60 dead,40.591875,Cameroon-Nigeria border: 12 killed in suicide attack,Pfizer
Cape Verde,50.236875,COVID-19 vaccine: WHO denies disqualifying Nigeria,50.165,COVID-19 threatening development gains in Cape Verde,53.55869565,Italy shaken by brutal beating death of young Black man,52.3536842,"WHO tackles new virus strains, fresh restrictions imposed",Sinovac
